time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,0,0,3,3
2026-08-29 00:00:00+00:00,4,4,1,1
2026-08-30 00:00:00+00:00,0,0,13,6
2026-08-31 00:00:00+00:00,1,1,22,6
2026-09-01 00:00:00+00:00,2,2,2,2
2026-09-02 00:00:00+00:00,0,0,9,4
2026-09-03 00:00:00+00:00,1,1,1,1
2026-09-04 00:00:00+00:00,6,1,6,2
2026-09-05 00:00:00+00:00,4,2,0,0
2026-09-06 00:00:00+00:00,1,1,3,2
2026-09-07 00:00:00+00:00,10,9,1,1
2026-09-08 00:00:00+00:00,1,1,5,1
2026-09-09 00:00:00+00:00,12,6,7,5
2026-09-10 00:00:00+00:00,2,2,6,3
