time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-27 00:00:00+00:00,0,0,0,0
2026-06-28 00:00:00+00:00,0,0,0,0
2026-06-29 00:00:00+00:00,0,0,0,0
2026-06-30 00:00:00+00:00,0,0,0,0
2026-07-01 00:00:00+00:00,0,0,0,0
2026-07-02 00:00:00+00:00,0,0,0,0
2026-07-03 00:00:00+00:00,0,0,0,0
2026-07-04 00:00:00+00:00,0,0,0,0
2026-07-05 00:00:00+00:00,0,0,0,0
2026-07-06 00:00:00+00:00,0,0,0,0
2026-07-07 00:00:00+00:00,138,46,0,0
2026-07-08 00:00:00+00:00,33,10,1,1
2026-07-09 00:00:00+00:00,0,0,0,0
2026-07-10 00:00:00+00:00,1,1,0,0
2026-07-11 00:00:00+00:00,272,115,36,7
2026-07-12 00:00:00+00:00,4,4,32,9
2026-07-13 00:00:00+00:00,3,2,10,4
2026-07-14 00:00:00+00:00,3,3,3,2
2026-07-15 00:00:00+00:00,1,1,0,0
2026-07-16 00:00:00+00:00,1,1,5,2
2026-07-17 00:00:00+00:00,0,0,4,2
2026-07-18 00:00:00+00:00,0,0,2,2
2026-07-19 00:00:00+00:00,1,1,2,2
